text,label,origin,new_label
Giày trăm rưỡi trên sóp pe hơi bị xịn nha các ông =)))),0,vihsd,0
vl thế mà vn mình cứ tự nhục... thôi giờ mình thấy bọn nó còn biến thái hơn mình,1,vihsd,1
Hay quá.mắc cười xỉu,0,vihsd,0
Nhiều lúc a tôi xàm lol nhưng nhiều lúc chân lý vl 🙂,2,vihsd,1
bớt sống ảo giùm,1,vihsd,1
Bất hạnh nhất cuộc đời là ra trường rồi mà bạn vẫn ngu dốt .😔 đáng buồn cho nghành giáo dục,1,vihsd,1
['mỹ ở ns cái gì lồn đc k'],2,gen-vihsd,1
tên này ngoài đời chắc côn đồ lắm đây,1,victsd,1
Tục vl 🙂,1,vihsd,1
Thi Thi ngực đẹp. Tao gái mà nhìn còn thích,0,vihsd,0
Nhìn quả quần muốn tụt mẹ nó xuống 🤨,1,vihsd,1
cậu này dường như lạc lối trong cách sống của mình ..,1,victsd,1
Chủ xe đã đc bảo hiểm đền nguyên con xe mới cóng r nhé,0,vihsd,0
Thế K-ICM ko phải là con trai rồi mà là cây ATM,2,vihsd,1
"Ngại Ngùng lại nhớ đến TUẤN VŨ. Còn a trường thì tốt nhất nên tìm tiếp các bản nhạc trẻ để hát , hoặc thôi để người ta nhớ đến a với những bản nhạc xưa. Đừng cố qua hát thể loại này",1,victsd,1
"Quả nhiêng là cao thủ độ nhức thiêng hạ,tại hạ xưn bái phục,bái phục.!.,mong đại ca không chớt,không chớt..,qua mùa dịch,mong được tái ngộ,tái ngộ..",0,vihsd,0
"Ko đâu ad , chúng nó ngu đó , Cẩu Quan thua mưu Trung Chó nên cớ sự mới ra9 như vậy !",2,vihsd,1
Cũng trong này luôn,0,vihsd,0
"tao thấy, cô Lan sao tao cũng thích =)) Miệng vậy thôi chứ đ như mấy con nhẹ nhàng dịu dàng mà trong tâm như cức",0,vihsd,0
Tân AK cho em xin video anh ơi,0,vihsd,0
Nói cho biết thì lại tự ái. Thôi t chỉ nhắc nhẹ vậy thôi. Chúng m thấy hợp lý thì tự nhiên làm theo.,0,vihsd,0
Trung như con CHÓ,2,vihsd,1
"Mikhai chốp còn biết nhảu khỏi tàu đắm,chứ bọn này đéo nhẩy đâu,ảo thuật gia và phim ở hollywood phải gọi bằng ""Cụ""🤣",1,vihsd,1
Nguyễn Minh Hiếu Hoàng Thì sao m :))),0,victsd,0
Thg con: ông già t già rồi nên t tống con mẹ ông về quê cho thoải mái :))))),0,vihsd,0
Đúng là ông bà có câu nhất lé quả không sai 🤔🤔🤔 khẩu nghiệp quá già ăn nói tục tĩu mất dạy quá. Tao là kinh cái thể loại này lắm nè. Nổ và láo .🤥🤥🤥🤥,2,vihsd,1
Tú là con đĩ của aBe hãy gọi aBe là Daddy điiiiii,2,vihsd,1
Nhìn bác khoẻ mạnh tui cũng an tâm phần nào 🥰,0,vihsd,0
Vậy nên mới chuyển sang bán nồi niêu xoong chảo,0,victsd,0
"['Cái xảy này hoài ra nhưng ko thấy chặn ngăn, giơ chỉ thấy cao khẽ đánh']",1,gen-vihsd,1
Con bọ biển là động vật thời tiền sử. Được gọi là hóa thạch sống.Khả năng trao đổi chất rất đặc biệt.Cả đời bọ biển chỉ bài tiết vài lần.,0,victsd,0
Lan Hoa nói như mày vậy là cả trường đạo nhái tao rồi ai cũng mặc đồ giống tao hết 🙂,2,vihsd,1
Tú chất độc màu da cam =))),0,vihsd,0
Hiền hừm =)))),0,vihsd,0
"Bác sĩ VN giỏi quá, chúc mừng 2 cháu luôn khỏe và ngoan. Chúc mừng đến gia đình của 2 cháu.",0,victsd,0
Cứ như cái bẫy cài trên đường...,0,victsd,0
Tục tĩu là đã mất nhân cách rồi. Cô nên gỡ vdo này đi. Không có gì có ý nghĩa thì chẳng đáng khoe,0,vihsd,0
['Tiền ngta gửi nước ngoài hết rồi lấy đâu ra mà hộ ủng.'],1,gen-vihsd,1
"['Tôi ở Hà nội, tận mắt kiến chứng lũ chăn dắt trẻ em đi bán tăm bông, kẹo cao su quanh khu phố cổ. Nhìn những bé gái nhỏ xíu đáng lẽ ra phải được hành học phải, được vui, chơi thì lại phải lang thang từ hàng này sang khác quán mời mua khách tăm bông, kiếm tiền cho lũ chăn dắt mà lòng quặn lại. Không mua thì thương, mua thì cứ là như mình tiếp cho tay lũ chăn dắt. Bao giờ mới quét sạch chăn lũ dắt bất lương? này']",1,gen-victsd,1
Chuyện gì ma minh hiểu nổi nhiêu vay,0,vihsd,0
Mia Mêlanô Lexi Lore 🤭🤭🤭,0,vihsd,0
Anh châu đẹp trai quá à ahihi có nhu cầu chơi gay hong anh,0,vihsd,0
Tran Thu Trang phố nhà c nè :)),0,vihsd,0
Vậy mới thấy tri thức ngu tri thức hèn là như nào,2,vihsd,1
Vàng ngọc cl đừng có xạo l nha condi mất dạy,2,vihsd,1
Khung vang,0,vihsd,0
"ko biết tụi tham ô tham nhũng ăn cướp bán nước hại dân chúng dạy con như thế nào nhỉ, làm sao mà dám thấp hương cho ông bà tổ tiên",2,vihsd,1
Giống vl :)),0,vihsd,0
Cứ thịt tươi mà ăn,0,victsd,0
"Thời điểm Bale ra đi, tại sao fan Messi không mua về Bacerlona để đá Chung Kết C1, Cup Nhà Vua, Siêu Cup TBN để làm poker C1 gánh ""tạ"" messi như gánh Ronaldo nhỉ ?À quên Messi chưa tìm ai gánh Bale vào CK để Bale gánh lại.",0,victsd,0
['đúng ngu dân là'],2,gen-vihsd,1
['Trai nhau đẹp ̀ nha gia ̀ u ma sao bi nhu ̃ ng ́ thê na y ̀'],1,gen-vihsd,1
giận thì mình cũng đi ỉa =]]],0,vihsd,0
thương a ba :(,0,vihsd,0
Văn Yên đeo khẩu trang để ng bệnh không lây lan giọt bắn thôi như hình nó không mang thì 2 bé kia mang cũng như không !,0,vihsd,0
"sao ko lấy lao mà đâm nó , để nó tấn công vậy lỡ chìm tàu thì sao ?rớt xuống nước là nó xé thịt ra ăn",1,victsd,1
Hay quá abe ơi,0,vihsd,0
['Lồn đâu có. cũng Cái gì có nhưng thiếu cái lồn'],1,gen-vihsd,1
"Pha đột phá phút 50 quá đẹp, đúng chuẩn thương hiệu M10!",0,victsd,0
đc mấy hôm,0,vihsd,0
Hello thầy,0,vihsd,0
"Sau c chửi hoài v linh,,chửi hoài ko tốt đâu he",0,vihsd,0
"Trong khi cấp trên thì luôn luôn nói là chương trình không nặng. Chẳng lẽ nhà trường và giáo viên đang dạy sai chương trình của bộ. Mình đang có con học lớp 1, muốn khóc luôn vì chương trình. 3 tuần 3 bài thi: 1 bài tìm hiểu Đan mạch, 1 bài vẽ ô tô mơ ước, 1 bài vẽ hà nội. Học đọc thì phải biết đọc trơn, học viết thì phải viết được câu dài 2 dòng. Quá bức xúc!",1,victsd,1
Em thử tranh luận chính trị với đám cầu thủ đỏ đó... sẽ thấy tụi nó chửi em ko khác gì bọn bò đỏ nhé,2,vihsd,1
Chị này dễ thương ghê. Nghe nói chuyện thiệt tình,0,vihsd,0
"Đã bảo rồi, hát hay thì đéo cần beat , hát chay vẫn hay",0,vihsd,0
Phải sửa chữa thôi bởi vì những vật trưng bầy mỹ thuật trong tòa nhà ko còn mỹ thuật nữa thì sẽ ko phải là viện bảo tàng mỹ thuật.,0,victsd,0
['trời'],1,gen-vihsd,1
ảo tưởng vãi lồnn,1,victsd,1
Đào Mạnh An bên Anh họ thờ ơ với dịch bệnh. Vn vẫn là tốt nhất,0,vihsd,0
Nhac nhu lông lon thế chả bi hạch 😌😌,1,victsd,1
Long Nguyen :))) câm,2,vihsd,1
may nguoi ngheo kho co giup do dc k co,0,vihsd,0
"Trên viết thứ trưởng , dưới viết bộ trưởng",0,victsd,0
Giống nhau như hai giọt nước,0,vihsd,0
Em là một cô gái nông thôn. sống nội tâm. Trầm tính.,0,vihsd,0
Anh Trung bóng lộn sa đéc,2,vihsd,1
Cá Tràu bé mà vẫn bắt tất như vậy có thể nói là tận diệt không ạ?,0,victsd,0
Châu Mỹ Đây là cánh hoa🙂,0,vihsd,0
Phạm Hồng Minh cảnh sát chính tả,0,vihsd,0
Các idol thật là thông minh,0,vihsd,0
Làm ăn như cc,1,vihsd,1
Quan ngại quá xá,0,vihsd,0
Nghe có vẻ vô lý nhưng cực kỳ thuyết phục :v,0,vihsd,0
:)) trúng 1 lô vé số 20 tờ cũng chưa đủ mua nó :)),0,vihsd,0
Dơ vcl,1,vihsd,1
Đọc bài mà căm phẫn quá. Sao trên đời lại có dạng người khốn nạn đến thế. Con cháu ruột của mình mà cũng ko tha. ,1,victsd,1
Tùng hỏng :)))),2,vihsd,1
Cái việc này làm cho mn bị tối cổ quá nhanh quá nguy hiểm 🙂,0,vihsd,0
Méo biết hát cái h,1,victsd,1
"Morata là điển hình của bong bóng giá ảo gây ra bởi Neymar. Chỉ là một tiền tạo hạng trung, ghi hơn 10 bàn mỗi mùa mà có giá tới 6-70 triệu. Phi lý hết sức! Nếu vậy thì Messi và Ronaldo, những người ghi 50 bàn trong 10 năm, phải đáng giá 3 tỷ euro mất.",1,victsd,1
Để t chống mắt lên xem,0,vihsd,0
Như 2 giọt nước,0,vihsd,0
"Sự nghiệp của Messi có khoảng 500 bàn thắng, 200 pha kiến tạo đáng đc ghi vào sách dạy bóng đá. Anh em fan Ro nói thật lòng xem Ro có đc 50 bàn thắng đẹp ko??? Kiến tạo thì tôi chỉ nhớ có vài lần vấp bóng, hoặc vấp hậu vệ bóng bật ra và đc tính kiến tạo. Hãy 1 lần ko anti và thành thật với chính mình đi.",0,victsd,0
Tất cả cùng tiết kiệm cuối cùng là giảm phát kéo theo thất nghiệp và lại tiết kiệm và lại giảm phát.......,0,victsd,0
"Hiếu ơi hiện có kênh con LisaO chửi cả DÂN TỘC VIỆT NAM NGU VÌ ĂN MẮM THÚI , EM LÊN DẠY DỖ CHO NÓ BÀI HỌC ĐI EM, BỨC XÚC QUÁ.cảm ơn em.",2,vihsd,1
Chiều về qua không biết chuyện gì kẹt cả 1 đoạn đường giờ mới hay là bắt các con bạc,0,victsd,0
Theo trung cộng đi rồi đến lúc ko còn lợi dụng đc bà sẽ thấy cảnh. Hãy nhớ câu đừng nghe những gì cs nói mà..😂😂😂,2,vihsd,1
"Cang theo dõi Trần Dần. T hiểu vì sao ngta nói ông là gián điệp của VC. Kkk. Ông biến 3 / thành trò lố và ko ai hiểu VC bằng ông. Ông đã biến 2 chữ "" tất nhiên"" lên đỉnh cao mới của ngôn ngữ giao tiếp.kkkk",0,vihsd,0
"Đúng chất ai cập , từ bé đã dc thấy qua phim ",0,victsd,0
Yêu thầy thầy ba tốc độ :)),0,vihsd,0
Hinata Miyukina :(,0,vihsd,0
"Tạ Tường hẳn là em của 2n trước, vẫn TRẺ TRUNG và ĐÁNG YÊU như bâyh -)))",0,vihsd,0
Tsb 💩,1,vihsd,1
Linh Minnie kêu thằng tháng nghĩ di,0,vihsd,0
Chúc mừng Bà Xã bị thăng.Chúc mừng Bà Đầm đã hòa.,0,victsd,0
Ả con nè ba,0,vihsd,0
Vâng abe luôn đẹp trai,0,vihsd,0
BKDN cũng y như vậy. Nhưng mà kiến nghị lên thì thay thôi,0,vihsd,0
tổ cha nhà mấy thằng quản lý với bảo kê ngu như con lợn ! đã biết thể trạng của các em ý đều là nước nôi rất ít mà lại ko chịu cảnh giác vấn đề củi lửa .,2,vihsd,1
Hasagiiiii !,0,vihsd,0
Biết sợ rồi à?,1,victsd,1
Thành công trọn vẹn,0,victsd,0
"Barca vs juver đi, xem cho nó sướng nào.!",0,victsd,0
"Thật sự mà nói tối qua cùng bạn gái đi xem, xem được nửa phim mình kêu về thôi em. Phí thời gian ra rạp xem một bộ phim với nội dung và tính tiết thiếu thuyết phục. Nội dung ko có j. Tốn 190k + 70k bỏng ngô là 2 li nước.",1,victsd,1
Nhớ nha thánh ỉa Trung Thành Nguyễn,0,vihsd,0
ai thích võ thần súng bắn k thủng dao chặt k đứt. điểm danh nhé,0,vihsd,0
Cà khịa cực mạnh: chết cái tay vẫn cầm chiếc bánh mì :v,0,vihsd,0
9 bệnh nhân được truyền máu :)))))) toang,0,vihsd,0
Nguyễn Nam khựa story,1,vihsd,1
"Mấy thực phẩm này toàn chất bảo quản ko tốt cho sức khỏe, tôi học bên công nghệ sinh học chuyên ngành thực phẩm nên rất rõ vấn đề này.",0,victsd,0
Văn Tuấn Mai hàng F1 là vi phạm pháp luật hồi nào v bạn ?,0,vihsd,0
Ông chủ đem nhân viên đi khảo sát địa hình nuôi tôm,0,vihsd,0
"Đã xem, 2 người vô dụng nhất lại còn sống, thấy tiếc cho nữ chính 😔",0,vihsd,0
"Mình cũng có con đang học lớp 1. Chưa bao giờ vào vnexpress comment, nhưng lần này phải ý kiến. Cải cách kiểu gì mà trẻ học toát mồ hôi đến hơn 4 tuần chưa thể đọc được và nhận biết được chữ cái. Trong khi đứa đầu năm nay lên lớp 3 thì biết đọc và viết chỉ sau 3 tuần( trước đó không đi học chữ trước khi vào lớp 1). Mình thấy đứa thứ 2 thì thông minh, nhanh hơn chị. Viết chữ nghệ thuật thì quá khó. Đủ các môn học( 9 môn) nào là kỹ năng sống, đạo đức, mỹ thuật.... Đang học chữ sao nó đọc được mấy loại sách kia. Con tôi học tiếng anh tích hợp nên có 35 bạn/ lớp còn thấy khó huống chi có lớp 59 bạn/ lớp thì học kiểu gì? Các bác cứ nói không nên cho con học trước khi vào lớp 1 và trường mẫu giáo công thì k bao giờ dạy chữ trước. Học ngày nào cũng tới 11h đêm, nói tới học là cháu nó mặt buồn, sáng đi học thì uể oải..",1,victsd,1
Diệp Đình Huy chắc bạn không hiểu từ đấy,0,vihsd,0
Ko co lợi cho tỉnh nhưng có lợi cho quan . Ngu gì mà ko làm . Cơ mà 1000 ha rừg đó nay đã đi đâu @@,2,vihsd,1
Pótay. Cơm,0,vihsd,0
"Như con cặc,",1,vihsd,1
"Hãy để trung thu là tết trẻ em đi, người lớn đừng tặng quà nhau.",0,victsd,0
"Một chiếc xe nguyên bản luôn luôn an toàn hơn một chiếc xe độ đèn, điện, âm thanh, dán kính..... chỉ làm cho dễ cháy nổ xe, hạn chế tầm nhìn..... Cho nên dùng xe tốt nhất không dán kính, không độ đèn, giàn loa, âm thanh.... nhất là hiện tại cứ mưa là ngập dễ chập điện.....",0,victsd,0
['Làm đường sắc thì ngoài bắc ngoài bắc người gánh trả mà đi nhé: )'],2,gen-vihsd,1
Chị giàu chị nói Cc gì chả đúng..,2,victsd,1
Có phúc tự hưởng có hoạ cùng chịu ... người ae tốt ....,0,vihsd,0
Hãy tỏ ra là não mình không phẳng đi các bạn.,0,vihsd,0
Phương Anh Trần Hoàng CEO Theanh :))),0,vihsd,0
['Chất mất rồi BMW.'],1,gen-victsd,1
Con người tiến hóa và thông minh nhất trong các loài động vật là nhờ ăn thịt nấu chín. Những ai cổ vũ cho việc ăn chay là đang muốn tua ngược lịch sử tiến hóa của loài người,0,victsd,0
Lệ Phi Mặc hợp nhau thì cưới sẵn sàng thì cưới đơn giản vậy thôi,0,vihsd,0
Ô uế cái đất A Bảnh ra🤧🤧,0,vihsd,0
"So éo gì với cái bọn đi vệ sinh ra xăng. Không phải Iran, ko phải trung đông mà Mỹ mới là cái rốn dầu của thế giới. Giờ lại có thể biến đá thành xăng kia kìa.",0,vihsd,0
Đm chuẩn bị đi học tiếng tàu thôi là vừa,1,vihsd,1
sai chính tả kìa :3 :3,0,vihsd,0
Pham Ngoc Ninh Cho mẹ m vào tù cho nhanh :),2,vihsd,1
Các anh chị khóa trc ơi cho em lịch live của Tộc trưởng với ạ,0,vihsd,0
Thang nay oc no co van de rui? Du me o do ma no nhu thuoc no! Di lua loc la gioi! May dung  dai chu co ngoi dai dau,2,vihsd,1
trung sonic :)₫,0,vihsd,0
Toản Hoà đây kp ảnh của bệnh nhân thứ 17 đâu,0,vihsd,0
"Nói thế này để bạn hình dung nhé. Chúng tôi hay làm việc ở công trường, hôm nào thường xuyên đứng ngoài trời trưa nắng từ sáng tới chiều, thì 3 anh em công nhân uống tổng cộng gần 20 lít nước, vị chi mỗi người 6-7 lít, nhưng tuyệt nhiên là không đi tiểu tiện từ sáng đến chiều, vì nước uống bao nhiêu đổ mồ hôi hết bấy nhiêu.",0,victsd,0
Cần coi lại chất lượng xây dựng công trình này. ,0,victsd,0
Ok Bé Ba,0,vihsd,0
Ad rất bắt kịp phong trào :v,0,vihsd,0
Noi chuyen tao lai nguoi ta hoi ong mot duong ong tra loi mot neo tao Lao,2,vihsd,1
"Fake và Real vậy đi , mua gì thì tùy điều kiện mỗi người :))))",0,vihsd,0
Tập này chuyển qua Engsub cũng hơi mệt 😂😂😂,0,vihsd,0
Trường hợp này ngay cả con người cũng không phải ngoại lệ!,0,victsd,0
"Nhạt nhẽo, yếu đuối, phổ thông!",1,victsd,1
Nguyễn Trọng Hiệp nước miếng :)),0,vihsd,0
"thế ông PA và những người khác k nhận lương từ nhà nước mà vẫn đánh đổi mạng sống của mình đó, mình còn vừa nghe tin có một bạn đi từ thiện bị tai nạn mới mất đó, họ k nhận lương từ nhà nước nhé. Còn những người nào làm nhà nước thì chấp nhận đi, đó là trách nhiệm của họ nhé, họ phải làm nhé",0,vihsd,0
"Cái kết cho những kẻ thích thể hiện. Nhịn được cái tức một lúc, tránh được mối lo trăm ngày, bài học không bao giờ thừa.",1,victsd,1
['Abe mua như áo này là con di chet me sela rồi =) )'],1,gen-vihsd,1
"Ơ, sao biết, tâm lý vãi đạn",0,vihsd,0
Nguyễn Minh Triết vãi,0,vihsd,0
"Ông im mẹ mồm đi,xl quen mồm",2,vihsd,1
"Nuoc hoa that khong bao gio co gia may tram ngan dau , do la nuoc hoa gia  muon biet gia nuoc hoa that vao Amazon.com search : Chanel no 5 perfume se biet gia mua tra bang USD .",0,vihsd,0
Nghe có vẻ doraemon nhưng rất nobita,0,victsd,0
Nguyễn Thanh Tú chăm học vào,0,vihsd,0
Chi 3 kB e đi fb e nè 0939218629,0,vihsd,0
Sao thầy kh múa quạt nhỉ =))),0,vihsd,0
Nghe tiếp đoạn cuối đúng là loại phát biểu của loại lớp ba trường làng cộng với văn hoá thô lỗ nhất hành tinh . Huỳnh minh lực mà quảng cáo kiểu này thực sự bó tay luôn tóm lại quá sức vô văn hoá,0,vihsd,0
Bao nhieu chien si : dang hy sinh tren mat tran chon xac nhung ncguoi chet khong he quan ngai mang song: chung ta nen tap trung cau nguyen cho nhan loai mau tai qua nan khoi : tai Italia: thoi thi chung ta dang o trong nha ma duoc xem nhung vo kich cung hoan hi don nhan bai ong,0,vihsd,0
"Dù sao chăng nữa thì smartphone ( điện thoại thông minh ) vẫn chính là bản thu nhỏ một chiếc máy tính có kết nối internet. Ủng hộ việc cho phép học sinh sử dụng thiết bị thông minh từ điển bách khoa điện tử này vào việc học tập, chỉ lưu ý là phải có sự cho phép của giáo viên trong những trường hợp cụ thể ví dụ như trong mỗi câu hỏi, việc giải đáp, khoa học mới, phép tính, bài văn, lịch sử, địa lý . Đây chắc chắn là điều cần thiết để nâng cao kiến thức khoa học !",0,victsd,0
hẹn hò ít ghê...,1,victsd,1
"Tình hình dịch bệnh đang rất phức tạp. Mọi người ra đường nhớ đeo khẩu trang. Ai sống một mặt thì đeo 1 cái, ai sống hai mặt thì đeo 2 cái. Còn ai sống như con kă.c. thì nên đeo bcs thay khẩu trang 😏😏😏",2,vihsd,1
Bây giờ biết thằng mặt heo là ai rồi,2,vihsd,1
"Sao Tùng nào cũng giỏi trừ mỗi mình thế nhỉ? Nhớ có bạn comment là ""học tiếng Anh phải có năng khiếu"". Mình cũng có năng khiếu, đó là năng khiếu ""không học được tiếng Anh"". Hihihi. Đùa vậy thôi, phải học chứ.",0,victsd,0
Mấy chú nhớ donate cho cháu để cháu mua kẹo cho ông già cháu nhá 😀,0,vihsd,0
K có nghìn nào giúp dân thì nín đi!,2,vihsd,1
['Lê Trang Thị đắt dm'],1,gen-vihsd,1
Con lon giả,2,vihsd,1
"Trump làm kinh tế giỏi nhưng chức vụ tổng thống không thích hợp với ông,",1,victsd,1
Trung mê tính =)),0,vihsd,0
Em góp ý cho ad là mình nên lượt bớt những chi tiết không cần thiết để người xem đỡ chán khi xem video vì nó quá dài,0,vihsd,0
giang hồ bần,2,vihsd,1
Ca thứ 34 ở phan thiết bình thuận nhé mọi người . Sợ quá rồi,0,vihsd,0
"Tất cả các đời tổng thống trước đây. Riêng tôi rất thích ngài tổng thống Trump. Ông ngay thẳng, cương trực và rất tốt bụng, có tầm nhìn kinh tế vượt trội. Chúc ngài nhanh khỏi và chiến thắng bầu cử. ",0,victsd,0
Nhìn hài vl,0,vihsd,0
Phước Hữu Đinh ở Vũng Tàu đừng ăn bậy bạ nhá :v cái nào càng lạ thì ko nên ăn càng tốt,0,victsd,0
"['dương tuyên a csgt này nữa. nhà đm a gái, bài bạc gú cái đầu gì bùi a biết cũng']",2,gen-vihsd,1
Sống chết có số ae ơi.,0,vihsd,0
Trong mắt các bạn ấy thì người Nhật cũng nào chẳng hoàn mỹ,0,vihsd,0
Coi từ đầu đến cuối cười đau bụng 😅😅,0,vihsd,0
Fan trump không bao giờ chịu chấp nhận sự thật. Tranh cãi với họ càng tốn thời gian.,1,victsd,1
Lx má cười ỉa :))),1,vihsd,1
"@Vbii mình bt có nc hoa chiết mini ra típ nhỏ, nhưng đang nói với tâm thế là 1 người đồ fake 🤣. Chứ mình sài lăng romano thôi🤣🤣",0,vihsd,0
:(( lại phải đi à. Mệt lắm rồi đấy,0,vihsd,0
Mất lịch sự thì có,1,vihsd,1
['Tụi thôi nhật về nước dùm tao đi'],2,gen-vihsd,1
Trần Thị Hiệp có diễm phúc nhớ cũng mừng cho t 🤣,0,vihsd,0
['giang bần hồ'],2,gen-vihsd,1
Vừa có tay maskeup  vừa giới thiệu làm đẹp... biết đâu thật đâu vẽ,0,vihsd,0
Tấu hài như nhau :)),0,vihsd,0
"vãi cả ko giao dịch\ bằng ngoại tệ, nó đút lót căn hộ hay khu biệt thự, bố ai quản đc",1,vihsd,1
Đinh Nguyễn Vươn Anh Tuan,0,vihsd,0
vi trùng =)))))),0,vihsd,0
Ong Lân ôi ong xảm quá hi,1,vihsd,1
Nguyễn Văn Tường nghe nhiều mà t cũng thuộc mẹ nó luốn😸😸😸,0,vihsd,0
Du me may,2,vihsd,1
"nhất nghệ tinh là đây, rất đáng để tham khảo cho các bạn đang tìm mục tiêu cho sự nghiệp cũng như học hành.",0,victsd,0
Moá.,1,vihsd,1
Thằng cây atm hack chứ ai,2,vihsd,1
Nói chứ thấy bà này nói chuyện cứ sao sao như con khùng,2,vihsd,1
tóc rừng rậm nhiệt đới à độ,0,vihsd,0
Ko chấp nhận dc.,0,vihsd,0
"Thiệt muốn lạy. Emm thấy mng ở khu cách li tập thể đc phục vụ rất tận tình chu đáo. Có cả nghệ sĩ ca sĩ v mà mắc giống ôn gì mà cứ trốn thế! Mình bệnh sluong ít thì còn đủ bác sĩ để chữa trị, chứ mình đem bệnh ra cộng đồng thì bác sĩ cũng bó tay. Mình chết ngta cũng chết 🙂 Rồi làm d zuii k mấy má ???",0,vihsd,0
"Như thường lệ, lũ dư lợn viên sẽ vờ như không biết gì :v",0,vihsd,0
Phương pháp để chứng minh năng lực nhìn người giỏi của ông ct là thay người liên tục. Nên chọn được ông P chỉ là một tai nạn thôi.hi,0,victsd,0
Trước e xem anh trúng cái chuột mà 2 tháng r còn chả thấy họ gửi,0,vihsd,0
Nhung khi đọc cmt,0,vihsd,0
em đ có cửa 😞,1,vihsd,1
Ai như con nhung háng rộng kia :))),2,vihsd,1
Tấn Thời nếu làm theo mấy bài trước thì sẽ bị nói là 1 màu,0,vihsd,0
"Tuy chưa chuyển nhưng cũng lên kế hoạch dự phòng, chờ kết quả bầu cử. Nếu ngài Trump thắng thì chắc chắn sẽ rời đi thôi. Chờ sau ngày 3/11 mới biết được rõ ràng hơn.",0,victsd,0
7-8tr đô :)),0,vihsd,0
Vậy là 2 mạng người chỉ đáng 30 tháng tù thôi mọi người ạ. Cảm thấy hơi sai sai. Haizz.,1,victsd,1
