index,text,label,origin,new_label
33372,Lê Quang Huấn tôi tin bạn,0,vihsd,0
8383,Cho em hỏi cái nhẹ mội người ơi nay tộc trưởng không live stream hả mọi người ???,0,vihsd,0
20015,"Cm nó 50 ,k",1,vihsd,1
17176,"Đ*t con mẹ. Đang ăn cơm nghe đến đoạn bôi c** mũi,c** mèo Đức Phan ạ :)))",1,vihsd,1
22807,Giờ ghê răng lắm rồi,0,vihsd,0
19452,Lần nào cũng đưa con Robot này lên bìa mặt báo :)),0,vihsd,0
3378,Lặng,0,vihsd,0
13827,dường như cô không muốn MXH và Fan tung hô cô nữa :(( thấy hơi phũ với fan,0,vihsd,0
21992,Nhung ơi là nhung,0,vihsd,0
28041,Đẳng cấp DLV.,2,vihsd,1
1331,phản động là nói lên SỰ THẬT,1,vihsd,1
11898,ホアン ラム・ m ko tin akhah ??,0,vihsd,0
34525,Tươi lên nào 😘❤️,0,victsd,0
42249,đúng ngày đầu tiên đi học. thương các con quá....,0,victsd,0
27176,Trân trọng lúc còn nhỏ được ăn Tết bên gia đình❤️🙆‍♀️,0,vihsd,0
22935,công nhận giống y đúc. khác mỗi cái mặt,0,vihsd,0
41528,"Ông bà Obama nên từ bỏ ý nghĩ ông Biden vẫn là phó tướng của ông Obama. Đừng phủ bóng bằng những chương trình nghị sự cũ, đã thất bại từ 4 năm trước. Đặc biệt đừng bảo vệ chương trình ObamaCare nữa, mà phải thay đổi dựa trên những nền tảng của nó.Hãy để ông Biden có đường lối riêng.",0,victsd,0
14957,Phạm Huy Đạt Đú và thử trải nghiệm dòng nhạc mới nó khác nhau nhé bạn ơi!!!,0,vihsd,0
7264,“mời con mèo ăn cơm”,0,vihsd,0
41283,Tiểu Vy xinh quá,0,victsd,0
26670,Đâu phải ai cũng hợp đâuu,0,vihsd,0
10276,Phải chăng đây là lý do ông này ko muốn cách ly .)),0,vihsd,0
41507,"Có cầu, có đường hoàn chỉnh thì nơi đó sẽ phát triển",0,victsd,0
38318,VN các chuyến bay về liệu có xét nghiệm hay không vậy và trong vòng bao lâu phải xét nghiệm?,0,victsd,0
33271,Khi đôi môi anh còn thâm sì. Anh nói phét cũng khối ae nghe theo 😂😂😂,0,vihsd,0
11591,anh bar ơi cứu tú:v,0,vihsd,0
22128,"Khau nghiep khong chi doc Ma con ac ,day la tinh cach cua con nguoi hay Sao ,,  ???",1,vihsd,1
41529,"Mặc quần short, dép lào bắn súng bắt ma tuý, CA Việt Nam đỉnh thực sự!!!",0,victsd,0
3858,Lưu Khánh Nhật vẫn phải đề phòng kh chủ quan 🙂,0,vihsd,0
26482,Ngon quá thầy ơi,0,vihsd,0
7667,Giọng ca của B52 phải vượt qua tầm vũ trụ :v,0,vihsd,0
5114,"Được vl,nhìn mà ae cho mình xin link nhạc phát",0,vihsd,0
27276,Được vail anh ưu,0,vihsd,0
6072,NÓI SAO CON LINH NÓ KHÔNG CHỬI ĐIỆN THOẠI LẠI CHỬI NGƯỜI TA TỤC TĨU,2,vihsd,1
39183,chỉ sợ ông không ra trường đc.....,0,victsd,0
28090,À thì ra là vậy.. không hay tìm hiểu lắm nên không biết nhiều 😅chắc từ giờ phải tập tìm hiểu mọi thứ mới được 😅,0,vihsd,0
343,Cô hiếu trang điểm đẹp lắm,0,vihsd,0
9801,Động cơ quyên góp tiền là gì?,0,vihsd,0
43941,"Không ai dại gì từ bỏ làm ăn ở Trung Quốc với thị trường một tỷ tư con người đa số là giới trung lưu, giàu có, và là nước lớn duy nhất có chỉ số phát triển dương sau đại dịch Covid- 19...",0,victsd,0
5946,Sắm 1 cây đi kìa,0,vihsd,0
13870,ăn bẩn ko chừa thứ gì kể cả bê tông.,1,vihsd,1
25079,Con gà tại sao không phải là anh Ba mà là Pét Len =)),0,vihsd,0
37550,Phi công tất nhiên đắt giá hơn 115 triệu đô nhiều.,0,victsd,0
